sentence,sentiment
#抗日神剧# 国产这些电影呢，是有点过分的艺术夸张性了，过分的突出英雄的气氛了，完全就是一神人，什么都办得到，夸张得过分了，对于历史题材的电影是不太好，希望这些电影不要弄得像清朝后宫剧那样 详情:http://t.cn/zTzUP1,0
#抗日神剧# 这片里的鬼子这么2 我们都抗战了8年= = 呵呵。。。,0
（其实这些个拍抗日神剧的才是高端黑啊。。。。,0
#抗日神剧# 不止是抗日剧，还有什么宫廷大戏、苦情戏各种脑残剧情，那些87编剧的电视剧你们也看？,0
反正我从来不看！,0
#厨子戏子痞子# 29号就去看了，喜欢这仨演员。,1
有人说剧情俗套抗日神剧神马的，我倒觉得不错，因为不该死的一个没死，看着不郁闷，痛痛快快进影院，痛痛快快出来，我的要求就这么简单。,1
张涵予酷毙了，刘烨长发造型真帅，黄渤。。,1
那屁股拍得piapia的。。,1
近来风靡荧屏的抗日题材电视剧，越来越类型化。,0
“抗日”逐渐简化为一种故事背景，其内核被悄悄替换成武侠剧、偶像剧。,0
编创者非但不敢突破简单化的观念窠臼，还用离谱的编造强化陋见，“民族大义”的包裹下，“神剧”们实则是精明的商业算计,0
#抗日神剧# 抗日剧都是在灌输仇恨的吧！！！！！,0
剧情无脑，而且翻来覆去都是一样的剧本啊！！！,0
那就是日本人不是人啊，杀了我们那么多无辜的百姓啊！！！！,1
可是大家忘记了，日本是战败国么？,1
还要求日本人正视历史？,0
我只能说，呵呵呵！！！,0
#抗日神剧# 不曾料到，“厨子”竟然也是半部抗日神剧，呜呼哀哉！,0
有黄渤的电影恐怕怎么也严肃不起来吧 详情:http://t.cn/zTzUP1,0
“抗日神剧”罔顾公共理性 ，绣花针、铁砂掌、鹰爪功、化骨绵掌、太极神功轮番出现，取敌人首级如探囊取物。,0
有网友调侃道，“鬼子坚持了八年真不容易！”,1
战争原本相当残酷，将战争美化到如同娱乐活动一般，让人反感,0
#抗日神剧#现在国产电视剧只知道博眼球，要么走走重口味路线，要么放大扭曲生活中的丑陋面，有的编剧写出来的本子连网络新写手都不如，常识和智商都是用来挑战下限的，良心作久觅不得，难怪到处都是真人秀当道。,0
世界上最有名但是最无聊的男演员除了咱们中国一大批专门演抗日神剧的，另外一个当属tom hanks。,0
(靠，这娃会说中文！,1
#抗日神剧# 8年抗战，八路就没怎么跟日军正面交锋，所以拍片基本都是瞎编，要抗日真相只能去问国军。,0
自己都不能正视这段历史，你怎能要下一代去正视这段历史，又何谈让日本人去尊重这段历史。,0
#厨子戏子痞子# 与其说是喜剧，倒不如说是一部热血抗日神剧，黑色幽默与爱国情怀的结合。,0
@黄渤 的那段花旦舞跳得够风,1
虽然很神忽~ 还是很搞笑的~看得开心就好 哈哈,1
#抗日神剧# 我觉得抗日神剧是来自《雪豹》，但是雪豹好像还稍微正常点，然后雪豹的热播引起了众投资方的兴趣，觉得抗日神剧能凸显中华儿女骁勇善战，于是，《利箭行动》、《孤岛飞鹰》什么的就开始雄起了，怎么说好呢？,0
中国人都他么是神啊！！,0
#抗日神剧# 看得不多也看过几部，总结一下，第一，主角强的离谱，日本人怎么也杀不死。,0
第二，日本人人多但基本上都战斗力不高。,0
第三，如果剧中有其他党派基本上都是消极抗日，搞定日本人的一定是我伟大的党，或者经过劝导加入党的。,0
神剧情缺乏历史事实 详情:http://t.cn/zTzUP1,0
难看的奇怪电影。,0
倒不是要把抗日神奇四侠的配置和电视上的奇葩神剧归为一类，只是各种莫名其妙的支线让人始终游离在电影之外。,0
而是他能完美贴切的活在一个有意思的故事里。,1
而这剧本之苍白，是他跳再多舞也不能补救的。,0
#厨子戏子痞子# 今天刚去看过，真无聊，又是中国人的自我YY，一部抗日神剧... 详情:http://t.cn/zTzbys,0
#W影评#@万达电影生活 @电影厨子戏子痞子 电影名字很有迷惑性，同样带迷惑性的是情节，前20分钟很欢乐就是感觉云里雾里各种乱，后来倒序回去所有人才恍然大悟，类似设置影片里还很多。,0
看的时候感觉是在看疯狂的石头+风声，灭鬼子那段颇有点抗日神剧的色彩三个男主型男戏又好，黄渤舞技不,1
#厨子戏子痞子# 激情饱满的抗日“神剧”，前段癫狂，后段壮烈，结尾怀旧。,1
很想追求昆丁似的浓烈个人风格，不过总觉得有些拿腔拿调。,0
风格乱炖的片儿因人而异，反正我不好这口儿。,0
当然凡是奉献创意、风格独特的国产片都值得鼓励，@管虎同学 这几年的作品各方面确实日臻成熟，希望能成为中国的昆丁,1
厨戏痞，又是一部抗日神剧。,0
